GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM1699,Noordenveld,Nee,31290,Drenthe,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3.20,0
GM0737,Tytsjerksteradiel,Nee,31780,Friesland,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3.10,0
GM0345,Veenendaal,Nee,65589,Utrecht,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3.00,0
GM0119,Meppel,Nee,33564,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,0,1,3.00,1
GM1731,Midden-Drenthe,Nee,33178,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,1,1,3.00,0
GM1901,Bodegraven-Reeuwijk,Nee,34462,Zuid-Holland,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2.90,0
GM1955,Montferland,Nee,36026,Gelderland,,,,,,,,,,,,,,,,,,,,0,1,1,1,2.80,0
GM0034,Almere,Ja,207904,Flevoland,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,2.40,0
GM1859,Berkelland,Nee,43904,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,1,1,2.30,0
GM1708,Steenwijkerland,Nee,43940,Overijssel,,,,,,,,,,,,,,,,,,,,1,1,1,1,2.30,0
GM1900,Súdwest-Fryslân,Nee,89710,Friesland,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2.20,0
GM1970,Noardeast-Fryslân,Nee,45181,Friesland,,,,,,,,,,,,,,,,,,,,0,0,1,1,2.20,0
GM0074,Heerenveen,Nee,50257,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,1,2.00,1
GM0479,Zaanstad,Ja,155885,Noord-Holland,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,4,3,1.90,-1
GM0160,Hardenberg,Nee,60574,Overijssel,,,,,,,,,,,,,,,,,,,,0,0,0,1,1.70,1
GM0106,Assen,Nee,67963,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,0,1,1.50,1
GM1667,Reusel-De Mierden,Nee,13060,Noord-Brabant,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0873,Woensdrecht,Nee,21866,Noord-Brabant,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0370,Beemster,Nee,9748,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0498,Drechterland,Nee,19597,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
