GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM1507,Horst aan de Maas,Nee,42291,Limburg,,,,,,,,,,,,,,,,2,3,3,5,8,8,10,11,26.00,1
GM0847,Someren,Nee,19322,Noord-Brabant,,,,,,,,,,,,,,,,,1,1,1,2,3,3,5,25.90,2
GM0957,Roermond,Nee,58209,Limburg,,,,,,,,,,,1,1,1,1,1,1,2,2,2,4,6,13,15,25.80,2
GM0397,Heemstede,Nee,27286,Noord-Holland,,,,,,,,,,,1,1,1,1,2,2,2,2,5,5,5,5,7,25.70,2
GM1658,Heeze-Leende,Nee,15964,Noord-Brabant,,,,,,,,,,,,,,1,1,1,1,1,2,3,4,4,4,25.10,0
GM1978,Molenlanden,Nee,43858,Zuid-Holland,,,,,,,,,,,,,,,,,,1,2,3,7,9,11,25.10,2
GM0796,s-Hertogenbosch,Ja,154205,Noord-Brabant,,,,,,,,,,2,2,3,4,5,8,11,14,14,20,24,30,35,38,24.60,3
GM0579,Oegstgeest,Nee,24426,Zuid-Holland,,,,,,,,,,1,1,1,1,2,2,2,4,4,4,4,4,5,6,24.60,1
GM0303,Dronten,Nee,40815,Flevoland,,,,,,,,,,,,,,,1,2,3,6,7,7,8,9,10,24.50,1
GM0994,Valkenburg aan de Geul,Nee,16470,Limburg,,,,,,,,,,,,,,,,,,,1,2,2,2,4,24.30,2
GM0362,Amstelveen,Nee,90838,Noord-Holland,,,,,,,,1,1,1,1,2,2,2,2,3,3,3,4,6,7,13,22,24.20,9
GM0184,Urk,Nee,20776,Flevoland,,,,,,,,,,,,,,,,,,,,0,1,4,5,24.10,1
GM0983,Venlo,Ja,101603,Limburg,,,,,,,,,,,,1,1,1,2,2,3,4,6,8,12,21,24,23.60,3
GM0353,IJsselstein,Nee,34160,Utrecht,,,,,,,,,,,1,1,1,1,1,1,1,2,4,6,7,8,8,23.40,0
GM1903,Eijsden-Margraten,Nee,25658,Limburg,,,,,,,,,,,,,,,,,1,3,4,4,4,4,6,23.40,2
GM0907,Gennep,Nee,17071,Limburg,,,,,,,,,,,,,,,,1,1,1,1,1,2,4,4,23.40,0
GM0351,Woudenberg,Nee,13166,Utrecht,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,22.80,1
GM1621,Lansingerland,Nee,61601,Zuid-Holland,,,,,,,,,1,2,2,3,4,4,4,4,4,5,5,7,10,13,14,22.70,1
GM0448,Texel,Nee,13547,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,2,3,22.10,1
GM1711,Echt-Susteren,Nee,31638,Limburg,,,,,,,,,,,,,,,,,,,,2,6,6,7,22.10,1
GM0703,Reimerswaal,Nee,22678,Zeeland,,,,,,,,,,,,,,,1,1,1,1,2,2,3,4,5,22.00,1
GM1960,West Betuwe,Nee,50697,Gelderland,,,,,,,,1,1,2,2,2,2,2,2,3,3,3,3,6,6,8,11,21.70,3
GM0826,Oosterhout,Nee,55616,Noord-Brabant,,,,,,,,,,,,1,1,1,1,3,4,5,6,8,9,9,12,21.60,3
GM0437,Ouder-Amstel,Nee,13916,Noord-Holland,,,,,,,,,,,,,,,,,,,,2,3,3,3,21.60,0
GM0899,Brunssum,Nee,28103,Limburg,,,,,,,,,,,,,,,,,,,,2,4,4,6,21.40,2
GM0269,Oldebroek,Nee,23598,Gelderland,,,,,,,,,,,,,,,,1,1,1,2,2,5,5,5,21.20,0
GM1641,Maasgouw,Nee,23716,Limburg,,,,,,,,,,,,,,,,,1,2,2,3,4,5,5,21.10,0
GM0352,Wijk bij Duurstede,Nee,23762,Utrecht,,,,,,,,,1,1,1,1,1,1,2,2,2,3,3,4,4,4,5,21.00,1
GM0668,West Maas en Waal,Nee,19076,Gelderland,,,,,,,,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,21.00,1
GM1740,Neder-Betuwe,Nee,24034,Gelderland,,,,,,,,,,,,1,1,1,1,3,3,4,4,4,4,4,5,20.80,1
GM0331,Lopik,Nee,14473,Utrecht,,,,,,,,,,,,,,,,,,,1,2,3,3,3,20.70,0
GM0917,Heerlen,Nee,86832,Limburg,,,,,,,,,,,,,,1,2,2,4,5,6,8,14,15,18,20.70,3
GM0614,Westvoorne,Nee,14626,Zuid-Holland,,,,,,,,,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,20.50,0
GM0307,Amersfoort,Ja,156286,Utrecht,,,,,,,,,,,,,,2,4,4,4,10,18,21,23,30,32,20.50,2
GM0355,Zeist,Nee,63934,Utrecht,,,,,,,,,,1,1,1,2,3,4,4,4,6,8,12,12,12,13,20.30,1
GM1926,Pijnacker-Nootdorp,Nee,54331,Zuid-Holland,,,,,,,,2,2,2,2,2,4,5,7,6,6,7,8,10,11,11,11,20.20,0
GM0971,Stein,Nee,24961,Limburg,,,,,,,,,,,,,,1,1,1,3,3,3,3,4,4,5,20.00,1
GM0613,Albrandswaard,Nee,25271,Zuid-Holland,,,,,,,,,,,1,1,1,1,1,1,1,1,2,3,4,4,5,19.80,1
GM1963,Hoeksche Waard,Nee,86656,Zuid-Holland,,,,,,,1,1,1,2,2,2,2,2,1,1,1,2,4,6,8,12,17,19.60,5
GM0589,Oudewater,Nee,10201,Utrecht,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,19.60,0
GM0757,Boxtel,Nee,30747,Noord-Brabant,,,,,,,,,,,,,,,1,1,2,2,3,5,5,6,6,19.50,0
GM1669,Roerdalen,Nee,20615,Limburg,,,,,,,,,,,,,,,,,,,,0,1,1,4,19.40,3
GM0995,Lelystad,Nee,77893,Flevoland,,,,,,,,,,,,,,1,2,3,5,7,8,10,12,13,15,19.30,2
GM0214,Buren,Nee,26568,Gelderland,,,,,,,,,,,,,,,1,2,2,2,4,4,4,5,5,18.80,0
GM0882,Landgraaf,Nee,37591,Limburg,,,,,,,,,,,,,,,1,2,4,4,4,4,7,7,7,18.60,0
GM0815,Mill en Sint Hubert,Nee,10891,Noord-Brabant,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,18.40,0
GM0050,Zeewolde,Nee,22309,Flevoland,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,17.90,1
GM0180,Staphorst,Nee,17003,Overijssel,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,17.60,1
GM1942,Gooise Meren,Nee,57715,Noord-Holland,,,,,,,1,1,2,2,2,2,2,4,3,3,4,4,4,9,9,10,10,17.30,0
GM0756,Boxmeer,Nee,29065,Noord-Brabant,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,5,17.20,3
GM0383,Castricum,Nee,35772,Noord-Holland,,,,,,,,,,,,,,,,,4,5,5,5,5,6,6,16.80,0
GM0175,Ommen,Nee,17813,Overijssel,,,,,,,,,,,,,,,,,1,1,1,1,2,2,3,16.80,1
GM1581,Utrechtse Heuvelrug,Nee,49515,Utrecht,,,,,,,,,1,1,2,2,2,2,2,2,2,2,3,5,6,8,8,16.20,0
GM0599,Rotterdam,Ja,644618,Zuid-Holland,,,,,2,1,3,5,9,11,14,14,15,15,15,20,24,25,30,41,58,81,104,16.10,23
GM1684,Cuijk,Nee,24931,Noord-Brabant,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,4,4,16.00,0
GM0851,Steenbergen,Nee,25054,Noord-Brabant,,,,,,,,,,,,,,,,,,1,2,2,2,4,4,16.00,0
GM0275,Rheden,Nee,43640,Gelderland,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,4,7,16.00,3
GM0797,Heusden,Nee,44135,Noord-Brabant,,,,,,,,1,1,1,1,1,1,2,2,4,4,4,4,4,5,6,7,15.90,1
GM0358,Aalsmeer,Nee,31728,Noord-Holland,,,,,,,,,,,,,2,2,2,3,3,3,3,3,3,4,5,15.80,1
GM0173,Oldenzaal,Nee,31840,Overijssel,,,,,,,,,,,,,,,,,1,1,1,1,2,3,5,15.70,2
GM0678,Kapelle,Nee,12785,Zeeland,,,,,,,,,,,,,,,,,,,,1,2,2,2,15.60,0
GM1904,Stichtse Vecht,Nee,64336,Utrecht,,,,,,,,2,3,4,5,5,5,5,5,6,6,7,7,8,9,10,10,15.50,0
GM0629,Wassenaar,Nee,26211,Zuid-Holland,,,,,,,,,,,,,,,,1,2,2,3,3,3,4,4,15.30,0
GM0482,Alblasserdam,Nee,20069,Zuid-Holland,,,,,,,,,,,,,,,,,,,,1,1,2,3,14.90,1
GM0450,Uitgeest,Nee,13528,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,2,14.80,2
GM1730,Tynaarlo,Nee,33698,Drenthe,,,,,,,,,,,,,,,,,,,,1,3,4,5,14.80,1
GM0363,Amsterdam,Ja,862965,Noord-Holland,,,,,,,1,2,5,5,6,6,8,8,11,20,31,31,39,56,61,85,127,14.70,42
GM0744,Baarle-Nassau,Nee,6847,Noord-Brabant,,,,,,,,,,,,,,,,,,,,0,0,0,1,14.60,1
GM0375,Beverwijk,Nee,41176,Noord-Holland,,,,,,1,1,2,2,3,4,4,4,4,5,5,5,5,5,6,6,6,6,14.60,0
GM0302,Nunspeet,Nee,27481,Gelderland,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,3,3,4,14.60,1
GM0416,Langedijk,Nee,27992,Noord-Holland,,,,,,,,,,,,,,1,1,3,3,4,4,4,4,4,4,14.30,0
GM0297,Zaltbommel,Nee,28451,Gelderland,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,14.10,1
GM0193,Zwolle,Ja,127497,Overijssel,,,,,,,,,,,1,1,1,2,3,2,3,4,6,8,12,16,18,14.10,2
GM0183,Tubbergen,Nee,21276,Overijssel,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,3,14.10,0
GM1729,Gulpen-Wittem,Nee,14246,Limburg,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,14.00,0
GM0216,Culemborg,Nee,28555,Gelderland,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,14.00,0
GM0148,Dalfsen,Nee,28499,Overijssel,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,14.00,3
GM0532,Stede Broec,Nee,21706,Noord-Holland,,,,,,,,,,,,,,,,,,,1,1,1,3,3,13.80,0
GM0984,Venray,Nee,43326,Limburg,,,,,,,,,,,,,,,,,,,,0,1,3,6,13.80,3
GM0203,Barneveld,Nee,57971,Gelderland,,,,,,,,,,,,,,,,,,2,3,4,5,6,8,13.80,2
GM1876,Bronckhorst,Nee,36212,Gelderland,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,3,5,13.80,2
GM0439,Purmerend,Nee,80117,Noord-Holland,,,,,,,,,,,,,,1,2,2,2,2,2,2,4,7,11,13.70,4
GM0513,Gouda,Nee,73181,Zuid-Holland,,,,,,,,,,,,1,1,2,2,2,2,3,4,5,7,9,10,13.70,1
GM0718,Vlissingen,Nee,44371,Zeeland,,,,,,,,,,,,,,2,2,2,2,2,3,4,4,5,6,13.50,1
GM0642,Zwijndrecht,Nee,44639,Zuid-Holland,,,,,,,,,,,,,,,,,2,3,3,4,5,6,6,13.40,0
GM0840,Rucphen,Nee,22572,Noord-Brabant,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,13.30,1
GM0373,Bergen (NH),Nee,29974,Noord-Holland,,,,,,,,,,,,,,,,,1,1,1,1,2,4,4,13.30,0
GM0327,Leusden,Nee,30030,Utrecht,,,,,,,,,,,,,,,,,,,1,1,3,4,4,13.30,0
GM0312,Bunnik,Nee,15192,Utrecht,,,,,,,,,,,,,,,,,,,,0,0,1,2,13.20,1
GM0654,Borsele,Nee,22800,Zeeland,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,3,3,13.20,0
GM1930,Nissewaard,Nee,84797,Zuid-Holland,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,7,11,13.00,4
GM0441,Schagen,Nee,46553,Noord-Holland,,,,,,,,,,,,,1,1,1,2,3,4,4,4,5,6,6,12.90,0
GM1705,Lingewaard,Nee,46475,Gelderland,,,,,,,,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5,6,12.90,1
GM0147,Borne,Nee,23210,Overijssel,,,,,,,1,1,1,4,4,4,4,3,2,3,3,3,3,3,3,3,3,12.90,0
GM0396,Heemskerk,Nee,39164,Noord-Holland,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,5,12.80,2
GM0377,Bloemendaal,Nee,23410,Noord-Holland,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,12.80,0
GM0399,Heiloo,Nee,23464,Noord-Holland,,,,,,,,,,,,,,,,2,2,2,3,3,3,3,3,12.80,0
GM0944,Mook en Middelaar,Nee,7806,Limburg,,,,,,,,,,,,,,,,,,,,0,0,1,1,12.80,0
GM1714,Sluis,Nee,23386,Zeeland,,,,,,,,,,,,,,,,,,1,2,2,2,2,3,12.80,1
GM0356,Nieuwegein,Nee,63036,Utrecht,,,,,,,,,,,,,,,,,,1,1,3,4,6,8,12.70,2
GM1961,Vijfheerenlanden,Nee,55712,Utrecht,,,,,,,,,,1,1,1,1,1,1,2,2,2,3,4,4,7,7,12.60,0
GM1931,Krimpenerwaard,Nee,56048,Zuid-Holland,,,,,,,,,,,1,1,1,3,3,3,3,4,4,4,4,5,7,12.50,2
GM0273,Putten,Nee,24198,Gelderland,,,,,,,,,,,,,,,,,,,2,2,2,2,3,12.40,1
GM0772,Eindhoven,Ja,231642,Noord-Brabant,,,,,,1,1,3,4,4,6,7,8,8,8,12,13,21,21,22,23,24,28,12.10,4
GM0232,Epe,Nee,33145,Gelderland,,,,,,,,,,,,,,,,,,,2,2,4,4,4,12.10,0
GM0014,Groningen,Ja,231299,Groningen,,,,,,,,,,,,,,,2,3,6,6,7,7,11,23,28,12.10,5
GM0748,Bergen op Zoom,Nee,66811,Noord-Brabant,,,,,,,,,,,1,1,1,1,1,1,1,4,4,5,5,6,8,12.00,2
GM0743,Asten,Nee,16710,Noord-Brabant,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,12.00,0
GM0484,Alphen aan den Rijn,Ja,110986,Zuid-Holland,,,,,1,1,1,1,1,1,1,1,1,2,3,4,6,6,6,6,9,10,13,11.70,3
GM1940,De Fryske Marren,Nee,51430,Friesland,,,,,,,,,,,,,,,1,2,2,3,3,3,5,5,6,11.70,1
GM0866,Waalre,Nee,17247,Noord-Brabant,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,11.60,0
GM0299,Zevenaar,Nee,43488,Gelderland,,,,,,,,,,,,,,,,,,,,0,2,3,5,11.50,2
GM0546,Leiden,Ja,124899,Zuid-Holland,,,,,,,,,,,,,1,1,1,4,4,4,8,8,11,12,14,11.20,2
GM0861,Veldhoven,Nee,45337,Noord-Brabant,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,5,11.00,3
GM0317,Eemnes,Nee,9113,Utrecht,,,,,,,,,,,,,,,,,,,,0,1,1,1,11.00,0
GM0928,Kerkrade,Nee,45642,Limburg,,,,,,,,,,,,,,,,,1,2,2,3,3,3,5,11.00,2
GM0627,Waddinxveen,Nee,28316,Zuid-Holland,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,10.60,0
GM0938,Meerssen,Nee,18923,Limburg,,,,,,,,,,,,,,,,,,,1,1,2,2,2,10.60,0
GM0392,Haarlem,Ja,161265,Noord-Holland,,,,,1,1,1,1,1,1,2,2,1,1,1,4,4,4,6,7,7,10,17,10.50,7
GM0243,Harderwijk,Nee,47581,Gelderland,,,,,,,,,,,,1,1,1,2,2,2,2,4,4,5,5,5,10.50,0
GM1674,Roosendaal,Nee,77032,Noord-Brabant,,,,,,,,,,,,,,1,1,2,2,5,6,6,6,7,8,10.40,1
GM0384,Diemen,Nee,29196,Noord-Holland,,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,10.30,1
GM0489,Barendrecht,Nee,48673,Zuid-Holland,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,4,5,10.30,1
GM1842,Midden-Delfland,Nee,19391,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,1,2,10.30,1
GM1771,Geldrop-Mierlo,Nee,39595,Noord-Brabant,,,,,,,,,,,,,,,1,2,2,2,3,3,3,4,4,10.10,0
GM0530,Hellevoetsluis,Nee,40049,Zuid-Holland,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,10.00,3
GM0622,Vlaardingen,Nee,72404,Zuid-Holland,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,4,7,9.70,3
GM0632,Woerden,Nee,52197,Utrecht,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,9.60,1
GM0281,Tiel,Nee,41978,Gelderland,,,,,,,,,,,,1,1,1,2,2,2,3,4,4,4,4,4,9.50,0
GM0505,Dordrecht,Ja,118654,Zuid-Holland,,,,,,,,,,,,,,,1,1,1,1,1,4,4,8,11,9.30,3
GM1916,Leidschendam-Voorburg,Nee,75425,Zuid-Holland,,,,,,,,,,1,1,1,2,2,2,3,3,3,4,5,6,6,7,9.30,1
GM0166,Kampen,Nee,53779,Overijssel,,,,,,,,,,,,,,,,,,,,1,2,2,5,9.30,3
GM0361,Alkmaar,Ja,108558,Noord-Holland,,,,,,,,,,,,,1,1,1,1,1,1,2,2,5,9,10,9.20,1
GM0715,Terneuzen,Nee,54589,Zeeland,,,,,,,,,,,,,,,,,1,1,1,2,3,4,5,9.20,1
GM0717,Veere,Nee,21835,Zeeland,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,9.20,1
GM0534,Hillegom,Nee,21966,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,1,1,2,9.10,1
GM0503,Delft,Ja,103163,Zuid-Holland,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,5,9,8.70,4
GM0230,Elburg,Nee,23086,Gelderland,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,8.70,1
GM1735,Hof van Twente,Nee,34940,Overijssel,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,8.60,0
GM0385,Edam-Volendam,Nee,36099,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,3,3,8.30,0
GM1783,Westland,Ja,108603,Zuid-Holland,,,,,,,,,,,,,,,,,,1,1,3,6,7,9,8.30,2
GM1690,De Wolden,Nee,24110,Drenthe,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,8.30,1
GM0202,Arnhem,Ja,159265,Gelderland,,,,,,,,1,1,1,3,2,2,3,4,4,4,7,7,8,9,10,13,8.20,3
GM0765,Pekela,Nee,12214,Groningen,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,8.20,0
GM1709,Moerdijk,Nee,36961,Noord-Brabant,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,8.10,1
GM1525,Teylingen,Nee,37061,Zuid-Holland,,,,,,,,,,,,,,,,,,,1,2,2,2,3,8.10,1
GM0263,Maasdriel,Nee,24693,Gelderland,,,,,,,,,,,1,1,1,,,,,,,1,1,1,2,8.10,1
GM0610,Sliedrecht,Nee,25026,Zuid-Holland,,,,,,,,,,,,,,,,,,,,1,1,1,2,8.00,1
GM0988,Weert,Nee,49842,Limburg,,,,,,,,,,,,,,,,,,,,0,0,0,4,8.00,4
GM0200,Apeldoorn,Ja,162445,Gelderland,,,,,,,,,,,,,,1,2,2,3,3,7,7,10,11,13,8.00,2
GM0177,Raalte,Nee,37511,Overijssel,,,,,,,,,,,,,,,1,1,1,1,2,3,3,3,3,8.00,0
GM0664,Goes,Nee,37653,Zeeland,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,3,3,3,8.00,0
GM0226,Duiven,Nee,25332,Gelderland,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,7.90,0
GM0626,Voorschoten,Nee,25479,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,1,1,2,7.80,1
GM0228,Ede,Ja,115710,Gelderland,,,,,,,,,,,,,,,,,,1,2,2,5,5,9,7.80,4
GM0716,Tholen,Nee,25780,Zeeland,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,7.80,0
GM0766,Dongen,Nee,26051,Noord-Brabant,,,,,,,,,1,2,3,3,3,4,4,4,5,5,5,5,5,5,2,7.70,-3
GM0893,Bergen (L),Nee,13140,Limburg,,,,,,,,,,,,,,,,,,,,0,1,1,1,7.60,0
GM0603,Rijswijk,Nee,53467,Zuid-Holland,,,,,,,,,,,,,,,,,,,1,2,3,3,4,7.50,1
GM0547,Leiderdorp,Nee,27109,Zuid-Holland,,,,,,,,,,,,,,,,,,,1,1,2,2,2,7.40,0
GM0889,Beesel,Nee,13519,Limburg,,,,,,,,,,,,,,,,,,,,0,0,0,1,7.40,1
GM0453,Velsen,Nee,68348,Noord-Holland,,,,,,,,,,,,,,1,1,1,1,1,4,4,4,4,5,7.30,1
GM0406,Huizen,Nee,41273,Noord-Holland,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,2,3,3,7.30,0
GM0118,Hoogeveen,Nee,55662,Drenthe,,,,,,,,,,,,,,,1,1,2,2,2,2,3,3,4,7.20,1
GM0150,Deventer,Nee,99957,Overijssel,,,,,,,,,,,,,,,,,,1,2,4,5,5,7,7.00,2
GM0222,Doetinchem,Nee,57555,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,3,4,6.90,1
GM0451,Uithoorn,Nee,29424,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,1,2,2,6.80,0
GM0542,Krimpen aan den IJssel,Nee,29376,Zuid-Holland,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,6.80,0
GM0736,De Ronde Venen,Nee,44059,Utrecht,,,,,,,,,,,,,,,,,,,2,2,2,2,3,6.80,1
GM0518,s-Gravenhage,Ja,537833,Zuid-Holland,,,,,,,,,2,2,2,2,3,7,7,8,9,10,14,17,21,27,36,6.70,9
GM0293,Westervoort,Nee,14944,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,0,1,6.70,1
GM0086,Opsterland,Nee,29723,Friesland,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,6.70,0
GM1655,Halderberge,Nee,30194,Noord-Brabant,,,,,,,,,,,,,,,,,,,2,2,2,2,2,6.60,0
GM0858,Valkenswaard,Nee,30910,Noord-Brabant,,,,,,,,,,,,,,,,,,,,0,1,1,2,6.50,1
GM1911,Hollands Kroon,Nee,47815,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,1,3,3,6.30,0
GM0072,Harlingen,Nee,15758,Friesland,,,,,,,,,,,,,,,,,,,1,1,1,1,1,6.30,0
GM0590,Papendrecht,Nee,32290,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,1,2,6.20,1
GM0164,Hengelo (O),Nee,80683,Overijssel,,,,,,,,,,,,,,,1,1,1,1,3,3,4,4,5,6.20,1
